order	page	regionNumber	x1Region	y1Region	x2Region	y2Region	lineNumber	x1line	y1line	x2line	y2line	color_img_file_name	AT	GT2
11	14	1	119	119	898	1111	11	227	494	863	562	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_14.png	ידעו אבותיך ˙ ובזכות אהרן הקפתי אתכם בענני כבוד שנ' פרס ענן למסך	ידעו אבותיך ˙ ובזכות אהרן הקפתי אתכם בענני כבוד שנ' פרס ענן למסך
12	14	1	119	119	898	1111	12	218	529	882	598	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_14.png	ואש להאיר לילה ˙ וכמה ענני כבוד היו מקיפין את ישרﭏ במדבר ˙ רהושעא	ואש להאיר לילה ˙ וכמה ענני כבוד היו מקיפין את ישרﭏ במדבר ˙ ר' הושעיא
13	14	1	119	119	898	1111	13	218	566	862	634	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_14.png	ור' יאשיה אמ' חמשה ארבעה לארבע רוחות ואחד שהיה מהלך שלשה ימים	ור' יאשיה אמ' חמשה ארבעה לארבע רוחות ואחד שהיה מהלך שלשה ימים
14	14	1	119	119	898	1111	14	229	601	875	671	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_14.png	ראוק שהיה מכה לפניהם את הנחשים והעקרבים ואם היה נמוך מקום נמוך	רחוק שהיה מכה לפניהם את הנחשים והעקרבים ואם היה [נמוך] מקום נמוך
15	14	1	119	119	898	1111	15	219	639	875	709	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_14.png	היה מגביהו ואם היה מקום גוה היה משפילו ועושה אותם מישור שנ' כל גיא	היה מגביהו ואם היה מקום גבוה היה משפילו ועושה אותם מישור שנ' כל גיא
16	14	1	119	119	898	1111	16	221	675	869	743	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_14.png	ינשא וכל הר וגבעה ישפלו וגו' ˙ והבאר בזכות מרים שאמרה שירה על האם	ינשא וכל הר וגבעה ישפלו וגו'˙ והבאר בזכות מרים שאמרה שירה על המים
17	14	1	119	119	898	1111	17	199	709	887	779	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_14.png	שנא' ותען להם שירו לײ וגו' ˙ ובמי באר אז ישיר ישרﭏ את השירה הזאת וגו' 	שנא' ותען להם שירו לײ וגו' ˙ ובמי באר אז ישיר ישראל את השירה הזאת וגו' ˙
18	14	1	119	119	898	1111	18	211	747	884	817	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_14.png	אמ'ר' ברכיה הכהן בשם ר' מלך בשר ודם שיש לו מדנה והוא משליח בני אד	אמ'ר' ברכיה הכהן בשם ר' מלך בשר ודם שיש לו מדינה והוא משליח בני אדם
19	14	1	119	119	898	1111	19	215	785	888	856	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_14.png	לתוכה שיהו נושאים משאם ועושים משפטם מי צריך להיות זקוק למזונותיה	לתוכה שיהו נושאים משאם ועושים משפטם מי צריך להיות זקוק למזונותיה'
20	14	1	119	119	898	1111	20	219	823	883	893	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_14.png	לא בני מדינה צריכין להיות זקוקן להן ˙ אבל הק'ב'ה' לא עשה כן לא שלא למשה	לא בני מדינה צריכין להיות זקוקין להן ˙ אבל הק'ב'ה' לא עשה כן אלא שלח למשה
21	14	1	119	119	898	1111	21	225	860	885	931	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_14.png	ולאהרן שנ' ואשלח לפניך משה ואהרן ומרים ואף על פי כן בזכותן היו ישרﭏ	ולאהרן שנ' ואשלח לפניך משה ואהרן ומרים ואף על פי כן בזכותן היו ישרﭏ
22	14	1	119	119	898	1111	22	219	897	881	967	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_14.png	מנה מתנהגין המן בזכות משה תדע רך שהוא בזכות משה שכיון שמת שבת	[מנה] מתנהגין המן בזכות משה תדע לך שהוא בזכות משה שכיון שמת שבת
23	14	1	119	119	898	1111	23	218	933	878	1004	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_14.png	המן מלירד˙כיון שנסתלק אהרן מה כתיב ותקצר נפש העם בדרך ˙ שהיתה	המן מלירד˙כיון שנסתלק אהרן מה כתיב ותקצר נפש העם בדרך ˙ שהיתה
24	14	1	119	119	898	1111	24	210	974	877	1033	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_14.png	החמה קופחת עליהם ˙ והבאר בזכות מרים מה כתיב ותמת שם מרים ואא'	החמה קופחת עליהם ˙ והבאר בזכות מרים מה כתיב ותמת שם מרים ואח'
25	14	1	119	119	898	1111	25	220	1011	876	1070	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_14.png	כך לא היה מים לעדה והיאך היתה הבאר עשויה כמין כברה היתה ומתגלגלת	כך לא היה מים לעדה ˙ והיאך היתה הבאר עשויה כמין כברה היתה ומתגלגלת
26	14	1	119	119	898	1111	26	228	1041	872	1111	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_14.png	ובאה עמהם במסעות וכיון שהיו הדגלים חונים והמשכן עומד והיה הסלע	ובאה עמהם במסעות וכיון שהיו הדגלים חונים והמשכן עומד והיה הסלע
27	15	1	109	137	810	1147	1	120	137	802	196	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_15.png	בא ויושב לו בחצר אהל מועד והנשיאים באים ועומדים על גבי ואומרים עלי	בא ויושב לו בחצר אהל מועד והנשיאים באים ועומדים על גביו ואומרים עלי
28	15	1	109	137	810	1147	2	125	174	793	233	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_15.png	באר והיתה עולה ואחר כך הבאתי לכם שלוים במדבר שמא כמדבר נהגתי	באר והיתה עולה ואחר כך הבאתי לכם שלוים במדבר שמא כמדבר נהגתי
29	15	1	109	137	810	1147	3	125	211	796	270	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_15.png	אתכם אלא אם מאפל יה לא אני בידי הייתי מאיר להם שנא' וײ הולך	אתכם אלא אם מאפל יה לא אני בידי הייתי מאיר להם שנא' וײ הולך
30	15	1	109	137	810	1147	4	123	250	806	307	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_15.png	לפניהם יומם וגו' ˙˙ דבר אחר אם ארץ מאפל יה ˙ מהו מאפל יה	לפניהם יומם וגו' ˙ דבר אחר אם ארץ מאפל יה מהו מאפל יה
31	15	1	109	137	810	1147	5	121	289	802	348	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_15.png	שמא אמרתי לכם שאני מביא לכם טובה והלקשתי אותה ואין מאפל יה	שמא אמרתי לכם שאני מביא לכם טובה והלקשתי אותה ואין מאפל יה
32	15	1	109	137	810	1147	6	118	327	808	386	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_15.png	אלא לשון הלקשה כמה דתימרכי אפילות הנה ˙ אמ'ר' יהושע לא נפל	אלא לשון הלקשה כמה דתימר כי אפילות הנה ˙ אמ'ר' יהושע לא נפל
33	15	1	109	137	810	1147	7	114	366	800	425	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_15.png	מכל הדבר הטוב אשר דבר ײ אל בית ישרﭏ וגו' ˙ מדוע אמרו עמי רדנו ˙ מהו	מכל הדבר הטוב אשר דבר ײ אל בית ישרﭏ וגו' ˙ מדוע אמרו עמי רדנו ˙ מהו
34	15	1	109	137	810	1147	8	111	397	792	468	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_15.png	רדנו כההיא הרודה דתנינן הרודה פת חמה וכו' ˙ אמרו ישרﭏ כשהפת נבשל	רדנו כההיא [הרודה] דתנינן הרודה פת חמה וכו' ˙ אמרו ישרﭏ כשהפת נבשלת
35	15	1	109	137	810	1147	9	124	439	808	498	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_15.png	בתנור וניטלת ממנו עוד מדוע אמרו עמי רדנו ˙˙ דבר אחר מדוע אמרו	בתנור וניטלת ממנו עוד מדוע אמרו עמי רדנו ˙˙ דבר אחר מדוע אמרו
36	15	1	109	137	810	1147	10	116	477	804	535	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_15.png	עמי רדנו מהו רדנו כי הוא רודה בכל עבר הנהר ˙ אמרו לו נתת לנו בית המקדש	עמי רדנו מהו רדנו כי הוא רודה בכל עבר הנהר ˙ אמרו לו נתת לנו בית המקדש
37	15	1	109	137	810	1147	11	132	510	807	580	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_15.png	וסלקת שכינתך ממנו מה את מבקש ממנו עוד לא נבוא אליך עוד אמ' להם	וסלקת שכינתך ממנו מה את מבקש ממנו עוד לא נבוא אליך עוד ˙ אמ' להם
38	15	1	109	137	810	1147	12	121	545	806	616	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_15.png	ומי יתן לי והייתי במדבר עכשו איכן שעשיתי לכם אמ' כל אותר הטובה וכן	ומי יתן לי והייתי במדבר עכשו איכן שעשיתי לכם [אמ'] כל אותה הטובה וכן
39	15	1	109	137	810	1147	13	116	584	806	655	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_15.png	הוא אומר מי יתנני במדבר מלון אורחים איכן שהייתי מתקלס שנ' ישאו מדבר	הוא אומר מי יתנני במדבר מלון אורחים איכן שהייתי מתקלס שנ' ישאו מדבר
40	15	1	109	137	810	1147	14	113	621	806	692	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_15.png	ועריו משל לנשיא שנכנס למדינה וראו אותו בני המדינה וברחו ונכנס לשניה	ועריו משל לנשיא שנכנס למדינה וראו אותו בני המדינה וברחו ונכנס לשניה
41	15	1	109	137	810	1147	15	117	659	806	730	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_15.png	וברחו מלפניו ונכנס לעיר אחת חריבה וקדמו אותו והיו מקלסין אותו אמ'	וברחו מלפניו ונכנס לעיר אחת חריבה וקדמו אותו והיו מקלסין אותו אמ'
42	15	1	109	137	810	1147	16	121	697	807	766	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_15.png	הנשיא זו העיר טובה היא מכל המדינות כאן אני בונה אכסניא שלי כאן אני דר	הנשיא זו העיר טובה היא מכל המדינות כאן אני בונה אכסניא שלי כאן אני דר
43	15	1	109	137	810	1147	17	112	733	805	804	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_15.png	כך כשבא הק’ב'ה' לים ברח מלפניו שנ' הים ראה וינס היררן יסוב לאחור ˙ במדבר	כך כשבא הק'ב'ה' לים ברח מלפניו שנ' הים ראה וינס הירדן יסוב לאחור ˙ במדבר
44	15	1	109	137	810	1147	18	129	772	797	842	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_15.png	חריבה וקלסה להק'ב'ה' שנ' ישאו מדבר ועריו אמ' זו היא טובה לי כאן אני בונה	חריבה וקלסה להק'ב'ה' שנ' ישאו מדבר ועריו אמ' זו היא טובה לי כאן אני בונה
45	15	1	109	137	810	1147	19	114	810	805	881	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_15.png	אכסניא ודר בתוכה הדא היא דכתיב וידבר ײ אל משה במדבר סיני וגו' שהיה	אכסניא ודר בתוכה הדא היא דכתיב וידבר ײ אל משה במדבר סיני וגו' שהיה
46	15	1	109	137	810	1147	20	119	849	798	920	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_15.png	שם אהל מועד והק'ב'ה' דר בתוכו התחילו שמחים שהק'ב'ה' דר בתוכה שנא'	שם אהל מועד והק'ב'ה' דר בתוכו התחילו שמחים שהק'ב'ה' דר בתוכה שנא'
47	15	1	109	137	810	1147	21	121	887	795	958	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_15.png	ישושום מדבר וציה ותגל עדבה ותפרח בחבצלת וגו' ˙˙ וידבר ײ אל	ישושום מדבר וציה ותגל ערבה ותפרח בחבצלת וגו' ˙˙ וידבר ײ אל
48	15	1	109	137	810	1147	22	109	924	804	998	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_15.png	משה ˙ אשריו משה ששים רבוא עומדים והכהנים והלוים והזקנים כולם עומד'	משה ˙ אשריו משה ששים רבוא עומדים והכהנים והלוים והזקנים כולם עומדי'
49	15	1	109	137	810	1147	23	124	964	794	1034	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_15.png	שם ומכולם לא דבר עם' ﭏא עם משה שנ' וידבר ײ אל משה ˙ במדבר	שם ומכולם לא דבר [עם] ﭏא עם משה שנ' וידבר ײ אל משה ˙ במדבר
50	15	1	109	137	810	1147	24	121	1001	741	1072	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_15.png	סיני ˙ למה במדבר סיני ˙ מכאן אמרו בשלשה דברים נתנה התורה באש	סיני ˙ למה במדבר סיני ˙ מכאן אמרו בשלשה דברים נתנה התורה באש
51	15	1	109	137	810	1147	25	128	1039	803	1109	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_15.png	ובמים ובמדבר ˙ באש מנין שנ' והר סיני עשן כלו מפני אשר ירד עליו ײ באש ˙	ובמים ובמדבר ˙ באש מנין שנ' והר סיני עשן כלו מפני אשר ירד עליו ײ באש ˙
52	15	1	109	137	810	1147	26	117	1076	810	1147	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_15.png	[במנים ובמים מני שנ' ײ בצאתך משעיר בצעדך משדה אדום ארץ רעשה ג	[ובמנים] ובמים מנין שנ' ײ בצאתך משעיר בצעדך משדה אדום ארץ רעשה גם
53	16	1	119	114	899	1115	1	119	114	899	201	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_16.png	שמים נטפו גם עבים נטפו מים ˙ במדבר מנין שנ' וידבר ײ אל משה במדבר	שמים נטפו גם עבים נטפו מים ˙ במדבר מנין שנ' וידבר ײ אל משה במדבר
54	16	1	119	114	899	1115	2	240	157	894	238	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_16.png	סיני ˙ ולמה ניתנה בשלשה דברים הללו אלא מה אלו חנם לכל באי עולם כך דברי	סיני ˙ ולמה ניתנה בשלשה דברים הללו אלא מה אלו חנם לכל באי עולם כך דברי
55	16	1	119	114	899	1115	3	234	194	897	275	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_16.png	תורה חנם הם לכל באי עולם שנא' הוי כל צמא לכו למים וגו' ˙ דבר אחר למה	תורה חנם הם לכל באי עולם שנא' הוי כל צמא לכו למים וגו' ˙ דבר אחר למה
56	16	1	119	114	899	1115	4	179	229	899	312	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_16.png	ניתנה במדבר לומר כל מי שאינו עושה כמדבר אינו יכול לקנות דברי תורה ˙	ניתנה במדבר לומר כל מי שאינו עושה כמדבר אינו יכול לקנות דברי תורה ˙
57	16	1	119	114	899	1115	5	240	267	846	348	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_16.png	סיני ˙ ששה שמות נקראו לו הר ﭏהים ˙ הרבשן ˙ הר גבנונים ˙ הר חמד ה	סיני ˙ ששה שמות נקראו לו ˙ הר ﭏהים ˙ הר בשן ˙ הר גבנונים ˙ הר חמד ˙ הר
58	16	1	119	114	899	1115	6	230	304	895	386	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_16.png	חודב ˙ הר סיני ˙ הדﭏהים ˙ למה שישב בו הק'ב'ה' בדין שנ' ואלה המשפטים אש'	חורב ˙ הר סיני ˙ הר ﭏהים ˙ למה שישב בו הק'ב'ה' בדין שנ' ואלה המשפטים אש'
59	16	1	119	114	899	1115	7	229	341	895	423	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_16.png	תשים לפניהם ˙ הרבשן ˙ הר שבא הק'ב'ה' הר שבו שינן את התורה לישרﭏ ˙ הר	תשים לפניהם ˙ הר בשן ˙ הר שבא הק'ב'ה' הר שבו שינן את התורה לישרﭏ ˙ הר
60	16	1	119	114	899	1115	8	235	377	898	460	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_16.png	גבנונים ˙ שבשבילו פסל כל ההרים כמה דתימר או גבן או דק ˙ הר חמד ˙ שבו	גבנונים ˙ שבשבילו פסל כל ההרים כמה דתימר או גבן או דק ˙ הר חמד ˙ שבו
61	16	1	119	114	899	1115	9	222	415	888	496	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_16.png	חמד הק'ב'ה' לישב שנ' ההר חמד ﭏהים לשבתו ˙ הדרחורב הר שעליו נשמטה	חמד הק'ב'ה' לישב שנ' ההר חמד ﭏהים לשבתו ˙ הר חורב ˙ הר שעליו נשמטה
62	16	1	119	114	899	1115	10	267	451	886	532	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_16.png	החרב ˙ שנ' מות יומת הנואף והנואפת ˙ מות יומת הרוצח ˙ הק סיני ˙	החרב ˙ שנ' מות יומת הנואף והנואפת ˙ מות יומת הרוצח ˙ הר סיני ˙
63	16	1	119	114	899	1115	11	230	487	888	569	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_16.png	שבו נשתנאו אומות העולם להק’ב'ה' ונתן להם איפופסים שנ' והגוים חרוב	שבו נשתנאו אומות העולם להק'ב'ה' ונתן להם איפופוסים שנ' והגוים חרוב
64	16	1	119	114	899	1115	12	234	523	880	605	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_16.png	יחדבו ˙ אמ'ר' אבאבר כהנא מחורב יחורבו משם נטלו איפופוסים שהם˙	יחרבו ˙ אמ'ר' אבא בר כהנא מחורב יחורבו משם נטלו איפופוסים שלהם
65	16	1	119	114	899	1115	13	228	566	847	634	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_16.png	באהל מועד ˙ הדא הא דכתיב כל כבודה בת מלך פנימה ממשבצות	באהל מועד ˙ הדא היא דכתיב כל כבודה בת מלך פנימה ממשבצות
66	16	1	119	114	899	1115	14	226	597	867	678	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_16.png	זהב לבושה ˙ עד שלא עמד אהל מועד דבר הק'ב'ה' עם משה בסנה שנ' ויקרא	זהב לבושה ˙ עד שלא עמד אהל מועד דבר הק'ב'ה' עם משה בסנה שנ' ויקרא
67	16	1	119	114	899	1115	15	225	640	889	711	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_16.png	אליו ײ מתוך הסנה ˙ ואחר כך דבר עמו במדין שנ' ויאמר ײ אל משה במדין	אליו ײ מתוך הסנה ˙ ואחר כך דבר עמו במדין שנ' ויאמר ײ אל משה במדין
68	16	1	119	114	899	1115	16	227	677	897	748	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_16.png	לך שוב מצרימה וגו' ˙ ואחר כך דבר עמו בארץ מצרים שנ' ויאמר ײ אל משה	לך שוב מצרימה וגו' ˙ כך דבר עמו בארץ מצרים שנ' ויאמר ײ אל משה
69	16	1	119	114	899	1115	17	221	713	885	784	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_16.png	ואל אהרן בארץ מצדים לאמר ˙ ואחר כך דבר עמו במדבר סיני שנ' ומשה	ואל אהרן בארץ מצרים לאמר ˙ ואחר כך דבר עמו במדבר סיני שנ' ומשה
70	16	1	119	114	899	1115	18	229	750	889	821	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_16.png	עלה אל הﭏהים ויקרא אליו ײ מן ההר לאמר וגו' ˙ וכיון שעמד אהל מועד	עלה אל הﭏהים ויקרא אליו ײ מן ההר לאמר וגו' ˙ וכיון שעמד אהל מועד
71	16	1	119	114	899	1115	19	224	786	885	857	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_16.png	אמ' יפה היא הצניעות שנ' והצנע לכת עם ﭏהיך ˙ הריני מדבר עמו באהל	אמ' יפה היא הצניעות שנ' והצנע לכת עם ﭏהיך ˙ הריני מדבר עמו באהל
72	16	1	119	114	899	1115	20	222	824	881	894	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_16.png	מועד ˙ וכן הוא אומר כל כבודה בת מלך פנימה ˙ בת מלך ˙ זה משה שנקרא	מועד ˙ וכן הוא אומר כל כבודה בת מלך פנימה ˙ בת מלך ˙ זה משה שנקרא
73	16	1	119	114	899	1115	21	219	862	888	933	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_16.png	מלך כמה דתימר וסכרתי מצרים ביד אדנים קשה ˙ שבאו על מצרים ˙ ומלך	מלך כמה דתימר וסכרתי מצרים ביד אדנים קשה ˙ שבחו על מצרים ˙ ומלך
74	16	1	119	114	899	1115	22	224	899	885	970	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_16.png	עז משל בם ˙ זה משה שהיה מלכה של תורה שנקראת עז שנ' ײ עוז לעמו	עז ימשל בם ˙ זה משה שהיה מלכה של תורה שנקראת עז שנ' ײ עוז לעמו
75	16	1	119	114	899	1115	23	221	933	867	1005	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_16.png	יתן וגו' ˙ לפיכך כל כבודה בת מלך פנימה ˙ ממשבצות זהב לבושה ˙ זה	יתן וגו' ˙ לפיכך כל כבודה בת מלך פנימה ˙ ממשבצות זהב לבושה ˙ זה
76	16	1	119	114	899	1115	24	226	970	877	1040	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_16.png	אהרן שנ' ועשית משבצות זהב ˙ מכאן אמרו חכמים אשה שהיא מצנעת	אהרן שנ' ועשית משבצות זהב ˙ מכאן אמרו חכמים אשה שהיא מצנעת
77	16	1	119	114	899	1115	25	226	1007	882	1078	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_16.png	עצמה אפלו היא ישרﭏית ראויה שתנשא לכהן גדול ותעמיד כהנים גדולים	עצמה אפלו היא ישרﭏית ראויה שתנשא לכהן גדול ותעמיד כהנים גדולים
78	16	1	119	114	899	1115	26	220	1043	878	1115	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_16.png	שנ' ממשבצות זהב לבושה ˙ אמ' הק'ב'ה' וכך הוא כבודי שאהא מדבר בפני'	שנ' ממשבצות זהב לבושה ˙ אמ' הק'ב'ה' וכך הוא כבודי שאהא מדבר בפני'
79	17	1	106	133	809	1149	1	114	133	786	192	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_17.png	שנא ובבוא משה אל אהל מועד וגו' ˙ לכך נאמר באהל מועד ˙˙ אמ' ר'	שנא' ובבוא משה אל אהל מועד וגו' ˙ לכך נאמר באהל מועד ˙˙ אמ' ר'
80	17	1	106	133	809	1149	2	113	171	784	230	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_17.png	יהושע בן לוי ﭏו היו אומות העולם יודעים מה היה בית המקדש יפה להם	יהושע בן לוי ﭏו היו אומות העולם יודעים מה היה בית המקדש יפה להם
81	17	1	106	133	809	1149	3	114	210	793	269	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_17.png	קסטריות היו מקיפין אותו כדי לשמרו שהיה יפה להם יותא משל ישרﭏ שכן	קסטריות היו מקיפין אותו כדי לשמרו שהיה יפה להם יותר משל ישרﭏ שכן
82	17	1	106	133	809	1149	4	106	248	805	307	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_17.png	שלמה סודר תפלה שנ' אל הנכרי אשר לא מעמך ישרﭏ ובא מארץ רחוקה למען	שלמה סודר תפלה שנ' אל הנכרי אשר לא מעמך ישרﭏ ובא מארץ רחוקה למען
83	17	1	106	133	809	1149	5	118	286	794	345	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_17.png	שמך הגדול וידך החזקה וזרוע הנטויה ובא והתפלל אל הבית הזה ואתה	שמך הגדול וידך החזקה וזרוע הנטויה ובא והתפלל אל הבית הזה ואתה
84	17	1	106	133	809	1149	6	123	325	800	384	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_17.png	תשמע השמים ממכון שבתך ועשית ככל אשר יקרא אליך ˙ אבל כשהא	תשמע השמים ממכון שבתך ועשית ככל אשר יקרא אליך ˙ אבל כשהוא
85	17	1	106	133	809	1149	7	117	362	803	423	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_17.png	בא אצל ישראל מה כתיב ונתת לאיש ככל דרכיו אשר תדע ˙ אם ראוי לו היה	בא אצל ישראל מה כתיב ונתת לאיש ככל דרכיו אשר תדע ˙ אם ראוי לו היה
86	17	1	106	133	809	1149	8	117	400	797	459	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_17.png	נותן לו ואם לאו לא תתן לו ˙ ולא תאמר בית המקדש אלא אלולי ישרﭏ לא היה	נותן לו ואם לאו לא תתן לו ˙ ולא תאמר בית המקדש אלא אלולי ישרﭏ לא היה
87	17	1	106	133	809	1149	9	116	433	801	504	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_17.png	המטר יורד ולא השמש זורחת שבזכותן הק'ב’ה' מזריח לעולמו ˙ ולעולם הבא	המטר יורד ולא השמש זורחת שבזכותן הק’ב’ה’ מזריח לעולמו ˙ ולעולם הבא
